Elapsed Times, 3.551, 3.915, 3.068, 4.624, 4.744, 2.949, 5.908, 4.858, 5.601, 4.001, 4.105, 3.857, 5.471, 5.929, 2.107, 1.657, 1.006, 4.048, 2.84, 3.33, 5.3, 1.005, 5.144, 3.753, 5.68, 2.837, 1.515, 1.69, 3.585, 3.901
Actual Times, 0.431, 0.315, 0.383, 0.312, 0.334, 0.759, 0.318, 0.332, 0.357, 0.4, 0.318, 0.283, 0.33, 0.428, 0.396, 0.356, 0.427, 0.32, 0.334, 0.306, 0.303, 0.46, 0.353, 0.369, 0.329, 0.363, 0.36, 0.332, 0.297, 0.317
